index,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
146,2020XCCP2,中共≠中國 共產黨≠中國人https://t.co/AjTnRVHl2J和https://t.co/TrkPNtASSZ。歡迎加入新中國聯邦！法治基金C3 https://t.co/mFuKVv7Vp0 法治基金C4 https://t.co/goCIH4mAtG G-TV app下載https://t.co/BLxX8hYGu8,,192,164,3453,1133,"Newsmax National Report, 1 Apr 2021
- Scientific misinformation campaign misled you on origin of #COVID19 
- SARS-CoV-2 is intentionally released during “community tests”, then out of control
- Community test is a key step to make #UnrestrictedBioweapon like natural occurring https://t.co/WPPALLPhwb",['COVID19']
147,keepnetlabs,Keepnet is a cyber security awareness and defence platform that protects businesses through the life cycle of email-based attacks.,"Cambridge, England",0,721,7603,0,"Email Security Definition

https://t.co/MMH1PYJfkl

#databreach #malware #ransomware #emailsecurity #datasecurity #iot #covid19 #CISO #apple #cybersecurity #hacking #technology #infosec #Fraud #tech https://t.co/lkCCObvLfH","['databreach', 'malware', 'ransomware', 'emailsecurity', 'datasecurity', 'iot', 'covid19', 'CISO', 'apple', 'cybersecurity', 'hacking', 'technology', 'infosec', 'Fraud', 'tech']"
148,phishingorguk,Cyber Security Awareness Training - Anti Phishing Solutions,"London, UK",1686,998,1968,0,"Recent attacks against the gaming industry in 2020

https://t.co/kLUfU5U5c7

#databreach #malware #ransomware #emailsecurity #datasecurity #iot #covid19 #CISO #apple #cybersecurity #hacking #technology #infosec #Fraud #tech https://t.co/anrGe1YJMC","['databreach', 'malware', 'ransomware', 'emailsecurity', 'datasecurity', 'iot', 'covid19', 'CISO', 'apple', 'cybersecurity', 'hacking', 'technology', 'infosec', 'Fraud', 'tech']"
149,brittabnolte,✌🏼📷❄️⚖️🇨🇦,,1173,416,38025,76,".@Sflecce @fordnation @celliottability, the data do not lie. Incidence of #COVID19 in students at in-person school is climbing at a shocking rate, roughly tripling that of youth not in schools.

Pls don't tell us schools are safe. MAKE schools safe. #onted #onpoli #COVID19Ontario https://t.co/NWB5DWmVIa",['COVID19']
150,jlevi53,,,227,117,29664,4,"A reminder for the Uncle Toms: as a #Muslim you could die on the frontlines of the #COVID19 response that the government fumbled, and Islamophobes that voted them in will still hate the Muslim community.

Stop being doormats. Grow a spine. Your haters will never love you. https://t.co/NSb2OIYQu8","['Muslim', 'COVID19']"
151,tufoniti,,,126,35,1191,1,"@bopinion If I DON’T take the vaccine, I’m at risk for covid19. 

If I DO take the vaccine, I can still get covid19 PLUS I’m at risk for permanent vaccine side effects (including death) with no liability.

Therefore I’m reducing my risk by not taking this experimental vaccine. 

its a fact",[]
152,JanetAnscombe,"Doctor, historian, mother of chickens, European, MBE.",Tenerife,158,1185,11256,0,"COVID-19 in the Canaries: cases up over 1,000 in six days, 14 more fatalities, and ICU occupancy again extremely worrying https://t.co/7baAl7jsut",[]
153,IDHS,"Indiana Department of Homeland Security - Leading a Safe and Secure Indiana.

Social Media Policy: https://t.co/xoqkiKSY2u",Indiana,989,23635,7883,0,"Have you scheduled your #COVID19 vaccine appointment?

Visit https://t.co/Pdmla5hNJW or call 211 to register near you.

What to expect: https://t.co/UaXzwCdrQn
What to bring: https://t.co/c7rbogZ6nN
FAQs: https://t.co/BZNCGORh3M https://t.co/qWMAexhfh7",['COVID19']
154,iamkrishnamali,Founder & Editor @itstechgraph | Media Junkie | Member @startuphereTO | Advocacy | Owner of Imaginary Businesses |,"Mumbai, India",3966,4575,6316,0,"British Prime Minister Boris Johnson has suggested that vaccinated people should not meet indoors, as vaccines are not giving 100 percent protection.

#BorisJohnson #VaccinationDrive
#UK #Brits #COVID19 #Britain 

https://t.co/DCFDZHFfDD","['BorisJohnson', 'VaccinationDrive', 'UK', 'Brits', 'COVID19', 'Britain']"
155,usmo_umak,University of Makati Student Multimedia Organization's official Twitter Account • est. 2019,Makati City,78,184,20798,20,"Manila Mayor Isko Moreno set to receive his first dose of Sinovac’s  #COVID19 vaccine tomorrow. 

Manila PIO: With the approval of the President as recommended by IATF, mayors in high risk cities and municipalities are already authorized to get vaccinated. | via @_katrinadomingo",['COVID19']
156,RT_Himachal,"A tweet bot, that retweets, #himachal, #himachalPradesh. If you don't want me to retweet, please block this account.","Himachal Pradesh, India",6,5493,612318,1,"Amid surge in #COVID19 cases; schools, colleges shut in HP till April 15

#HimachalPradesh #Coronavirus 

https://t.co/5y2bkiWd9E","['COVID19', 'HimachalPradesh', 'Coronavirus']"
157,krismeloche,"CANADIAN Love to all/Coach/
Multiple Provincial Titles/French/Indigenous/History lies/Take down #JAM /Treaty #12/#35/McKee/Three Fires Confederacy Territory","Amherstburg, Ontario ",4981,4373,75702,10,"Cancer patients contracted COVID19 seven times more frequently and had a mortality &gt;3 times more than other persons with COVID19 BEFORE the B117 variant.

It's time to vaccinate all of Ontario's recently diagnosed cancer patients @fordnation #COVID19Ontario #onpoli",[]
158,RS_Eng_Brain,NoAfD. No Aluhut. Kein ungefragtes Duzen! Keine Covidioten. Schulschliessungen: #schwereschuld. Hessens Motto: #lockdownfürdiemittelstufe.,Germany,546,319,17961,13,"""I am a little different from most academic infectious disease epidemiologists, as most of my collaborations are with public health departments."" My frank discussion of #COVID19 strategy with the smart and entertaining @VPrasadMDMPH at @UCSF. 
https://t.co/C3S2guGMT7",[]
159,azharnaama,Country Programs Manager @AschianaAfg l Advocate #ChildRights #EducationInEmergency l #SDGs Enabler l #LSE @LSESocialPolicy @LSEalumni,"Kabul, Afghanistan",191,91,1405,12,"Join global &amp; regional eval leaders for the all-day #Eval4Action Tweetathon on accelerating action for influential evaluation in the #COVID19 era
 
Kick start on 6 April, 4pm EDT, by @unfpa_eval, @Eval_Youth @eval_gpf  w/ @IOCE_eval @EvalPartners
 
https://t.co/At53bNlsBE https://t.co/KGriQkhXoH",['Eval4Action']
160,FIRM_Action,FIRM Action is a national effort of individuals & grassroots orgs to build support for humane comprehensive immigration reform. Check out @re4mimmigration.,Across the United States,3600,32076,53687,0,"Essential workers continue to risk their lives in the front lines against #COVID19, w/out any protections and relief. It’s time we do right by those keeping us safe. Take action to demand permanent protections for ALL: https://t.co/Rjii7yA2cL",['COVID19']
161,DrPaulineRolle,,,64,29,476,10,"Starting Monday, April 5, Florida residents age 16 and up will be eligible to receive the #COVID19 vaccine! The Pfizer vaccine is authorized for persons 16 &amp; up. The Moderna and Janssen vaccines are authorized for persons age 18 &amp; up. Pre-register now: 
https://t.co/9BGBM0TPUd https://t.co/K2yGRHfkkq",['COVID19']
162,HasengerH,大道之行天下为公，选贤与能讲信修睦,,1544,389,2687,9,"Hungary's issuance of a GMP certificate to Chinese producer Sinopharm's COVID-19 #vaccine, the first for a Chinese #COVID19 vaccine to be certified from an #EU country, will enhance the vaccine's competitiveness in the international market: experts https://t.co/NHrxQZH972",['vaccine']
163,i_montaigneEN,French nonpartisan & nonprofit #thinktank committed to the public interest. | Follow the #DestinationAI course! 🧠⬇️,"Paris, France",408,35155,8253,0,"🩺 #Healthcare: the #Covid19 crisis has highlighted the resilience and commitment of public and private actors in the French healthcare system, but also important gaps.
 
➡️Analysis by @Millet_Laure
https://t.co/fG3FoCiQX2","['Healthcare', 'Covid19']"
164,TanyaComrie2,,Canada,35,65,27931,76,".@Sflecce @fordnation @celliottability, the data do not lie. Incidence of #COVID19 in students at in-person school is climbing at a shocking rate, roughly tripling that of youth not in schools.

Pls don't tell us schools are safe. MAKE schools safe. #onted #onpoli #COVID19Ontario https://t.co/NWB5DWmVIa",['COVID19']
165,COVID19_SL,Streaming Sri Lanka COVID19 Novel Coronavirus strain information from Sri Lanka Health Promotion Bureau every two hours. Follow for constant updates. #COVID19SL,"Colombo, Sri Lanka",0,313,6098,0,"Coronavirus Cases in Sri Lanka is currently 93128!

→ Active : 2532
→ Cases Today : 0
→ Deaths : 575
→ Cases Yesterday : 0
→ Recovered : 90021
→ Deaths Today : 0
→ Total PCR Tests : 2434306

    ~ 🇱🇰  STATUS ID 532 ~
[#COVID19SL #COVID19LK] https://t.co/w3O4KcHYj0","['COVID19SL', 'COVID19LK']"
166,shelicee2,,,423,160,9575,3694,"I cry for the people of Brazil 🇧🇷

#P1 is serious. The world better wake up. 

(HT @MaxCRoser &amp; @OurWorldInData) #COVID19 https://t.co/uradMAlJeN","['P1', 'COVID19']"
167,YvonneBisous,☯️Worthy or unworthy ... To be hated for what you represent or to be loved for who you are not... Fugit Irreparabile Tempus ☯️,London,1597,111,3469,0,@AntiRacismDay @jeremycorbyn #KillTheBill shame on you all and here's @jeremycorbyn F*** orf mate you're all overpaid behaving like its ok to riot when we have death on our doorsteps #COVID19? probably cost our #NHS wonderful bumper of casualties for todays protest.. Trouble making once again!!,"['KillTheBill', 'COVID19', 'NHS']"
168,Bollyhungama,"Your ultimate destination for exclusive updates on your favorite celebrities, films, events & more.",,795,1869752,118512,1,"#RanbirKapoor’s fitness trainer reveals all about his fitness regime post recovering from #COVID19 

https://t.co/SH7BLVBtpy","['RanbirKapoor', 'COVID19']"
169,forbes_india,"Bringing you the best conversations on Indian and international business, in alliance with @Forbes. Run by our journalists. Read more at http://t.co/jSdy7uG6PL",India,883,1266420,69089,0,"Beyond the Boardroom, with @bhumipednekar: The actor on rediscovering herself and going back to school books; her obsession with #HarryPotter; how #COVID19 made content platform agnostic, and on the importance of individual action for #ClimateChange https://t.co/qoSDyiMRVy https://t.co/yi4qcPp99l","['HarryPotter', 'COVID19', 'ClimateChange']"
170,LACountyWDACS,"LA County WDACS is a comprehensive community resource that provides personal, social and economic services for residents and businesses.",Los Angeles County,256,1971,3064,0,All LA County residents will be eligible for the free #COVID19 vaccine starting April 15. Learn more at https://t.co/djsI6koRTB. https://t.co/NXVNzdRjyW,['COVID19']
171,NoahCornish,"Nipissing University student | Environmental Geography, Minoring in Biology | Daily #COVID19 Visualizations |",Durham Region,309,184,1294,0,"April 3rd, 2021
Durham Region Daily Case Graph
#DurhamRegion #COVID19 #COVID19ON

** Daily Cases = 138 **
** 7-Day Average = 156 **

** These values won't necessarily match the daily report from the region. **

Visualization (computer):
https://t.co/onnyPozA0u https://t.co/zXX03lMIu2","['DurhamRegion', 'COVID19', 'COVID19ON']"
172,JagranEnglish,Jagran English the new age Trending News site. Check out https://t.co/UuzBHS8KDs for all latest & top trends across globe.,"New Delhi, India",37,8840,163498,1,"Amid surge in #COVID19 cases; schools, colleges shut in HP till April 15

#HimachalPradesh #Coronavirus 

https://t.co/5y2bkiWd9E","['COVID19', 'HimachalPradesh', 'Coronavirus']"
173,toofan_khabre,WEB NEWS: https://t.co/wlZMxzdsI3,"Mumbai,Maharashtra, India",396,90,355,0,"#MalaikaArora takes the #firstdose of #COVID19 #vaccine &amp; shares a pic; Says 'Let's #winthiswaragainstVirus' As the vaccination drive for COVID19 is going on in the #country, Malaika Arora went ahead and took the first jab on Friday. 
https://t.co/J0uZl5JSRO https://t.co/GJKJWEiwBQ","['MalaikaArora', 'firstdose', 'COVID19', 'vaccine', 'winthiswaragainstVirus', 'country']"
174,gmanews,Welcome to the official Twitter account of GMA News in the Philippines.,Philippines,697,5867183,724156,0,"Lung Center ER at 200% capacity, #COVID19 wards at 100%

https://t.co/8Z3cstTns4",['COVID19']
175,AjjaySabari,Suriya rasigan da...,,754,36,4042,34,"#TN nears 3500 #COVID19 today! Number of cases in #TN today 3,446

 Number of cases in #Chennai - 1290

#WearAMask    #Vaccinate","['TN', 'COVID19', 'TN', 'Chennai', 'WearAMask', 'Vaccinate']"
176,MissHislop,☭ 🇨🇦 🇨🇺,"Toronto, ON",390,245,4505,793,"(Posted with permission)
47 y old teacher totally healthy.
#Covid19 +ve student contact.
Now intubated in ICU.
Explain why schools aren't safer.
Explain why teachers aren't vaccinated. 
Explain why essential workers now fill our ICUs in Ontario. 
Explain.",['Covid19']
177,kvonyborg,"Mom/Filthy Mouthed Wife.
Cheesehead. #GoPackGo
Parrothead.
Indoorsy. She/Her.
Reasonable human being/Totally Unhinged Liberal.
Tweets are all over the place.","Iowa, USA",1155,544,13997,0,"#Iowa #COVID19 numbers 4/3
597 new cases ⬇️
11 deaths ⬆️
201 hospitalized ⬇️
44 in ICU ⬆️
20 on vents ⬆️
14 day positivity rate 4.7% =
 #IowaDeservesBetter #CovidKim","['Iowa', 'COVID19', 'IowaDeservesBetter', 'CovidKim']"
178,HalaNaseer9,undefined beauty,,14,1,37,2,"@Shafqat_Mahmood Batch of 2020 did not have to face the consequences of #covid19, yet had their exams cancelled due to the rise in cases. On the other hand, us, Batch of 2021, the real sufferers, the ones who had to GO THROUGH IT ALL😔🙏🙏#cancelboardexams2021",['covid19']
179,ochreblue,"Politics junkie who loves my family & friends, my haven, reading, spirituality, yoga, healthy living, & the environment. Also special 🐕🐕 Ochre & Charlie.",Australia,5001,2896,409775,2007,"People fully vaccinated against #COVID19 can travel within the United States and do not need COVID-19 testing or post-travel self-quarantine as long as they continue to take precautions while traveling: #WearAMask, avoid crowds, and wash hands frequently. https://t.co/9uzBuFZyWE https://t.co/C7V8Ip0jJv",['COVID19']
180,BluAngel54,Patron saint of lost causes and responsibility. AMERICA or tRUmp - there is NO in-between. NO MAGATS & ONE-WAY PROTECTED ACCTS.,,5006,2666,172163,62,"Still Brazil’s #COVID19 epidemic is not as bad as America when Trump was in charge, yet... https://t.co/kIZ51U5h1P",['COVID19']
181,SCcoast_agent,God and Country,"South Carolina, USA",2163,1675,29829,2,"#COVID19 = Certification Of Vaccine ID &amp; the 
19 is not a year but stands for AI (Artificial Intelligence) 

The vaccines contain nanoparticles to usher in #transhumanism.....[they] do not need humans  

Get right w/ #God 
#Easter #Pray #JesusChrist  
 
  #NWO #Biden = #Evil https://t.co/zFXjGWRCfR","['COVID19', 'transhumanism', 'God', 'Easter', 'Pray', 'JesusChrist', 'NWO', 'Biden', 'Evil']"
182,RajankmSingh1,civil engineer,"Bihar, India",176,170,11885,4,"#Covid19: Schools, colleges and coaching institutes closed till April 12 in #Bihar. No public event allowed from Monday onwards, for funeral a cap of 50 has been put , while for marriages there is a cap of 250","['Covid19', 'Bihar']"
183,ShaytanTruth,If you mute or block me you LOSE :) God is the illusion of good in mankind. Truth shatters illusions. No such thing as fair or fairness. Socialism is a lie.,London,869,1531,132006,585,"UK Doctors, If you've signed a death certificate for a questionable Covid death, I suggest you seek BMA or independent legal advice soon.

""the Covid19 Assembly team comprises experienced health professionals, researchers, data analysts and legal experts""

https://t.co/9Nw837Hcfd",[]
184,rahhularora,"Founder/Creator.
Building https://t.co/2tTlmK2qde in public to 10K MRR ■■■■□□□□□□
→https://t.co/2tTlmK2qde - fastest, easiest and smartest way to interview collaboratively 🔥",,699,173,411,5661,Why we need Two Doses of mRNA Vaccine 💉 #vaccines #COVID19 #Pfizer #moderna #VaccinesSaveLives #vaccinated https://t.co/RFRmPAyubD,"['vaccines', 'COVID19', 'Pfizer', 'moderna', 'VaccinesSaveLives', 'vaccinated']"
185,barhebreuz,"Into all things intl. law, trade & investment related","Stockholm, Sweden",83,15,7,10,"In case you missed it: WTO forecasts 8% trade growth in 2021 after a contraction of 5.3% last year. Prospects for a quick rebound in world trade have improved, but economists warn of an uneven recovery after the #COVID19 shock. The #WTOForecast is here: https://t.co/Myef2SYSYh https://t.co/nWJx0swIPG",[]
186,valstansfield,,,291,29,818,42,"Breaking: Quebec on Saturday reports its biggest daily increase yet in the number of #COVID19 variant cases: 771, for a total of 9,558. Positivity rate up to 60.3%. Big data dump. More tweets to come.",['COVID19']
187,rwmacleod,"Tall, grey and geeky.

#blacklivesmatter",Ottawa,2454,442,10673,11,"In Daniel's #COVID19 update, increased hospitalization in children and young adults, Pfizer vaccine efficacy 12-15 yo, rapid self admin nucleic acid and antigen tests, mRNA vaccine efficacy in real world cond, improvement of long COVID after vaccination https://t.co/4vHQpCdQvf https://t.co/DFtCCTq8Vi",['COVID19']
188,evelythe,"Jawdropping, I know!","Seoul, South Korea",87,4,190,5,"PH ACTIVE COVID-19 CASES SWELL TO 165,000; ECQ IN NCR+ BUBBLE EXTENDED UNTIL APRIL 11

President Rodrigo Duterte has approved the IATF's recommendation to extend the enhanced community quarantine in the NCR+ bubble amid the #COVID19 surge in the country. https://t.co/BzjzECYyJe https://t.co/5DAL7p74Z2",[]
189,Christi60094964,,,65,12,1389,42,"Breaking: Quebec on Saturday reports its biggest daily increase yet in the number of #COVID19 variant cases: 771, for a total of 9,558. Positivity rate up to 60.3%. Big data dump. More tweets to come.",['COVID19']
190,DMDent,"Fine Artist-equines. #Fashion stylist/consultant fashion sustainability #Welsh 
w/c Newport Love #HorseRacing. #Libertarian
Anti Globalist
 🏴󠁧󠁢󠁷󠁬󠁳󠁿🏇🐏👠",Monmouthshire,4999,2384,50022,378,"Whether you choose a #vaccination or not, your medical information is nobody else's business.

#CovidVaccine #COVID19 #VaccinePassports #NoVaccinePassports https://t.co/TBz861dQKo","['vaccination', 'CovidVaccine', 'COVID19']"
191,CoopJays,,,646,287,11735,793,"(Posted with permission)
47 y old teacher totally healthy.
#Covid19 +ve student contact.
Now intubated in ICU.
Explain why schools aren't safer.
Explain why teachers aren't vaccinated. 
Explain why essential workers now fill our ICUs in Ontario. 
Explain.",['Covid19']
192,Kioninadine,"#FemmeEntrepreneure #Education #PetiteEnfance #interdisciplinarité #Sensibilisation #Afrique #Inclusion #AI #LeaveNoOneBehind 
@BeehiveEnfance&Education", Somewhere in the World.,1430,1242,9315,6,"In partnership with @EU_Near, @UNICEF launched a €5 million programme in Western Balkans &amp; Turkey, ensuring the continuity of core health, child protection and educational services for 490,000 children and their families as part of the #COVID19 recovery.

https://t.co/1Lt8RsXkbt",[]
193,RolandTenley,"Battalion Chief of EMS, EMS QAO, Data Science Geek, Father, Husband","Peoria, IL",575,453,15885,6,"If you missed the COVID-19 Behavioral Health webinar, you can watch it at the link below!

https://t.co/detqA2KaWn

#COVID19 #behavioralhealth
@saraanne71 @FirewellHealth @ToddJLeDuc @NVFC",['COVID19']
194,moonmootspriva1,e,6 inches in yer mum,15,8,49,0,this tweet be like #COVID #COVID19 #MonthlyStimulusNOW https://t.co/gMqzXgHjZT https://t.co/v4zZUKkkV9,"['COVID', 'COVID19', 'MonthlyStimulusNOW']"
195,ElanajFogel,"Proud Mom & Advocate of 2 delicious Boys-Passionate Marketer -Lay leader @JFKFoundation, @McGillGCRC & @JGHMINDSTRONG-Do Gooder-#HabsFan","Montreal, Quebec",1796,1415,3132,42,"Breaking: Quebec on Saturday reports its biggest daily increase yet in the number of #COVID19 variant cases: 771, for a total of 9,558. Positivity rate up to 60.3%. Big data dump. More tweets to come.",['COVID19']
196,mindfulnessqd,"A Toronto-based non-profit organization teaching stress reduction skills and mindfulness to educators, youth and parents: https://t.co/ZxUnWN95hA","Toronto, Ontario",759,680,3206,1,Register now for this April 14 webinar as Martin Antony explores the psychological treatment of #obsessivecompulsivedisorder. Special considerations for treating #OCD during #COVID19 will also be discussed. 🙂 https://t.co/K2wHGgpl9s #mentalhealtheducation #mentalhealthtraining https://t.co/mwtrazMTw9,[]
197,mheduNIMHANS,Dept of Mental Health Edu. aims to promote health & well-being of individuals & communities using culturally appropriate mental health education methodologies.,"Bengaluru, India",191,2371,1042,31,COVID-19 Testing Update. For more details visit: https://t.co/dI1pqvXAsZ @MoHFW_INDIA @DeptHealthRes #ICMRFIGHTSCOVID19 #IndiaFightsCOVID19 #CoronaUpdatesInIndia #COVID19 #Unite2FightCorona https://t.co/unNCLzKJK2,['ICMRFIGHTSCOVID19']
198,BusinessSme,,,230,74,2178,9,"Landlords are able to claim tax relief for expenses that are incurred wholly and exclusively for the purposes of the #property rental #business. 

#EarlyBiz #Accounting #COVID19 #IncomeTax #HolySaturday #Easter2021 @SMEUKs @UKSBN @accountsworld

Read More:-https://t.co/LhEUxHzo0t https://t.co/jg4cMNq81b",[]
199,BZBbe,loves meat crumbs with vinegar,,306,57,4244,20,"In 2020, desert locust swarms descended on Kenya, threatening #foodsecurity in the worst infestation in 70 yrs. This has been linked to #climatechange, adding another layer of risk to #COVID19. 

How #IDAworks to help countries become more resilient: https://t.co/zMvbMicpfD https://t.co/a9M2mudmqK",['foodsecurity']
200,Willawendis,"""...Think, Feel, Attend. Build a humane world..."" Psych 
""...to Serve and Protect..."" Optimus Prime",,1575,183,17003,14,Whole families in ICU as #COVID variants hit the young and healthy #HamOnt now has 5th highest #COVID19 rate in the province. https://t.co/LRXHUUXuML via @thespec,"['COVID', 'HamOnt', 'COVID19']"
201,tokwan_jeli,Tokwan Jeli,,2082,388,37256,15,"Kes positif mengikut negeri (setakat 03/04/2021, 12 pm)

Confirmed cases by state (as of 03/04/2021, 12 pm)

#COVID19
#KitaMestiMenang
#sihatmilikku https://t.co/tYytpBCnJh",['COVID19']
202,ShaylaDenisee12,23👑 • oregon✈️italy • usaf,"Aviano, Friuli-Venezia Giulia",660,785,67693,5,"Due to COVID19 I’ll be blessing the first 700 people to like &amp; retweet this $500 - $1000 through CashApp, Venmo, Apple Pay and Zelle 💰❤️",[]
203,Ms_Paperclips,"SCDSB. Game of Thrones & The Witcher fan. Canadian. ETFO member. Book lover. She/Her & LGBQT ally. Black Lives Matter. One cool Zia. Coffee, chocolate.",,495,552,7484,208,"Government: “We’re committed to keeping people safe during #COVID19.”

Government:

          👨🏻
     👨🏻👨🏻👩🏼
  👨🏻👨🏻👩🏼👨🏻

People most affected by the virus:

👩🏿 👨🏾👨🏻‍🦳👩🏾‍🦽👵🏾
👳🏾‍♀️ 👵🏻🧕🏾🧔🏿👳🏾‍♂️",['COVID19']
204,nilsinhoo,"""Apenas um rapaz latino-americano, sem dinheiro no banco, sem parentes importantes e vindo do interior...” — RT are not endorsements. All opinions are my own.","Cincinnati, OH",754,403,26485,3694,"I cry for the people of Brazil 🇧🇷

#P1 is serious. The world better wake up. 

(HT @MaxCRoser &amp; @OurWorldInData) #COVID19 https://t.co/uradMAlJeN","['P1', 'COVID19']"
205,MarkoSilberhand,"Dissatisfied with the situation of the world. Proud Sympathisant of #TheResistance 💙 45 is gone, but his shadow is still here. #ClimateChangeIsReal - no DMs","Bayern, Deutschland",32851,33706,51827,3694,"I cry for the people of Brazil 🇧🇷

#P1 is serious. The world better wake up. 

(HT @MaxCRoser &amp; @OurWorldInData) #COVID19 https://t.co/uradMAlJeN","['P1', 'COVID19']"
206,bluedogprinting,screenprinting,"Austin, Texas",1007,562,24373,3694,"I cry for the people of Brazil 🇧🇷

#P1 is serious. The world better wake up. 

(HT @MaxCRoser &amp; @OurWorldInData) #COVID19 https://t.co/uradMAlJeN","['P1', 'COVID19']"
207,danmaku_danny,"Interested in Japanese games, animation, cars and culture as well as memes and stonks. And also making friends. 🍻


AJATTer",,151,22,337,8,"1/ Many people have asked about the politics of the #COVID19 origins debate after I was featured on @60Minutes. It’s tragic that politics is preventing the full investigation that’s required, but the story is a bit complicated. Follow this thread for more. https://t.co/SwKnylIYpp",['COVID19']
208,saoralba111,,Scotland,3052,165,17228,44,"They cannot rule out the link of the COVID19 vaccine and blood clots. They are shitting themselves. The shit is hitting the fan. 
https://t.co/spiNsFEl68",[]
209,WhitchurchPact,Through the Partners and Communities Together (PACT) process you have the chance to raise any issues or concerns you have in Whitchurch.,Whitchurch Cardiff,83,325,3117,10,"#COVID19 | Whilst @WelshGovernment restrictions have eased, we are appealing for public support and for personal responsibility to be taken throughout the rest of this Bank Holiday weekend.
 
Full statement here:
https://t.co/GYOeM5vmLV

^rh https://t.co/yEoUI6FJrI",['COVID19']
210,tokwan_jeli,Tokwan Jeli,,2082,388,37256,9,"COVID-19 in Malaysia : Numbers at a Glance as of 3rd April 2021, 12 pm

#COVID19
#KitaMestiMenang
#sihatmilikku https://t.co/vZysiIjbrJ","['COVID19', 'KitaMestiMenang', 'sihatmilikku']"
211,LSCtwit1,,,159,90,14581,793,"(Posted with permission)
47 y old teacher totally healthy.
#Covid19 +ve student contact.
Now intubated in ICU.
Explain why schools aren't safer.
Explain why teachers aren't vaccinated. 
Explain why essential workers now fill our ICUs in Ontario. 
Explain.",['Covid19']
212,vivreabonheur,🇭🇹sakap fèt 🇭🇹    ig: _niduhh_,"Georgia, USA",199,929,567,188,"Due to COVID19 I’ll be blessing the first 450 people to like &amp; retweet this $500 - $3500 through CashApp, Venmo , Apple Pay and Zelle💖

Dm “how “ for payment..💰",[]
213,vaibhav_milan,! एक भारत श्रेष्ठ भारत । धर्मो रक्षति रक्षितः !,चांद पे है अपुन,1203,477,127354,363,"Mumbai just crossed 9,000 fresh Covid19 cases in a single day for the first time in the pandemic.",[]
214,rubenmstb,Do queixo non me queixo.,,1098,366,46785,5661,Why we need Two Doses of mRNA Vaccine 💉 #vaccines #COVID19 #Pfizer #moderna #VaccinesSaveLives #vaccinated https://t.co/RFRmPAyubD,"['vaccines', 'COVID19', 'Pfizer', 'moderna', 'VaccinesSaveLives', 'vaccinated']"
215,Maitre_du_monde,"Comptable et éternel ado, EMO dans l'ame et dépressif affectif, Maniaque de Foot et d'actualités. Micro inquisiteur de @allezlesbleusca I'm CFO bitch. #carabins",Hochelag,663,904,52778,42,"Breaking: Quebec on Saturday reports its biggest daily increase yet in the number of #COVID19 variant cases: 771, for a total of 9,558. Positivity rate up to 60.3%. Big data dump. More tweets to come.",['COVID19']
216,wgbarnes615,"See B2B sales strategy videos on YouTube and Instagram. Search #wgbtalk on YouTube, Instagram, LinkedIn, Twitter, and TikTok. Email is wgbarnes101@gmail.com.","Nashville, TN",1044,217,952,0,"Our cells release viruses every day. Viruses are not contagious. They do not cause disease.

#COVID19 #coronavirus #SARS #health #variant #newstrain #nashville #musiccity #DavidsonCounty #tennessee #TN #VolunteerState #GreatBarringtonDeclaration #wgbtalk https://t.co/TiG5NI8IyD","['COVID19', 'coronavirus', 'SARS', 'health', 'variant', 'newstrain', 'nashville', 'musiccity', 'DavidsonCounty', 'tennessee', 'TN', 'VolunteerState', 'GreatBarringtonDeclaration', 'wgbtalk']"
217,yogeshwadhwana,,,537,20,5346,2189,"I was stopped from visiting Kausa #COVID19 center (Thane). The center is abruptly closed, it's infrastructure stolen. I am now stopped to Expose this Ghotala and arrested and now taken to Kalva Police Station @BJP4Maharashtra @Dev_Fadnavis @BJP4India",['COVID19']
218,Dcastroarg,"twitter, esa barra del bar en la que sólo los amigos saben si estás hablando en serio o en broma. Si te ofendes y no conoces el contexto ya tienes dos trabajos.",,597,195,9008,6,"#Hungary 🇭🇺: In the interest of defeating #COVID19, @RSF_inter asks the government to allow journalists to report from inside hospitals &amp; interview healthcare workers. PM #ViktorOrban refuses to do so even after a request from 28 media, while accusing them of spreading fake news. https://t.co/1JqQRuTzd8","['Hungary', 'COVID19']"
219,mhmatsumoto,"Torcedor do São Paulo Futebol Clube, falo de aleatoriedades e o que vem de assunto no dia",,439,42,517,3694,"I cry for the people of Brazil 🇧🇷

#P1 is serious. The world better wake up. 

(HT @MaxCRoser &amp; @OurWorldInData) #COVID19 https://t.co/uradMAlJeN","['P1', 'COVID19']"
220,rohit_bmw,DevOps Engineering Fellow at Insight Data Science | AWS Solutions Architect,"Santa Clara, CA",6906,6298,91048,14,"""I am a little different from most academic infectious disease epidemiologists, as most of my collaborations are with public health departments."" My frank discussion of #COVID19 strategy with the smart and entertaining @VPrasadMDMPH at @UCSF. 
https://t.co/C3S2guGMT7",[]
221,BusinessSme,,,230,74,2178,8,"In the event that a loss arises in a trade or profession, consideration should be given as how best to obtain relief for that loss.

#business #EarlyBiz #Accounting  #money #COVID19 #HolySaturday #Easter2021 @TheSocialMs @SmBizNYNY @SMEUKs 

Read More:- https://t.co/xMdvzSwZ4y https://t.co/j5BkQJr87w",[]
222,WritinginMC,,,1116,207,18039,24,"We are seeing #covid19 cases go up again.

What happens next depends on:
1. Our behavior😷 until we get vaccinated
2. Getting vaccinated 💉, quickly https://t.co/1QovNPIGl4",['covid19']
